"","dia_ocu","mes_ocu","año_ocu","dia_sem_ocu","hora_ocu","depto_ocu","tipo_veh","color_veh","causa_acc","num_hecho","zona_ocu","modelo_veh","marca_veh","mupio_ocu","g_hora","g_modelo_veh","g_hora_5","areag_ocu","sexo_pil","edad_pil","mayor_menor","estado_pil","corre_base","edad_quinquenales","g_edad"
"6722",5,3,2016,6,21,16,99,99,1,929,99,9999,999,1613,4,6,3,2,NA,NA,NA,NA,NA,NA,NA
"6723",5,3,2016,6,22,3,1,6,1,934,99,1998,10,301,4,3,3,1,NA,NA,NA,NA,NA,NA,NA
"6724",5,3,2016,6,23,9,99,99,5,5755,99,9999,999,901,4,6,3,2,NA,NA,NA,NA,NA,NA,NA
"6725",5,3,2017,7,1,19,99,99,1,950,99,9999,999,1901,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"6726",5,3,2017,7,6,5,99,99,5,1624,99,9999,999,502,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"6727",5,3,2017,7,7,1,99,99,1,948,99,9999,999,117,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA
"6728",5,3,2017,7,10,1,4,5,5,1623,1,2013,6,101,2,5,1,NA,NA,NA,NA,NA,NA,NA,NA
"6729",5,3,2017,7,15,5,4,3,4,951,99,9999,64,502,3,6,2,NA,NA,NA,NA,NA,NA,NA,NA
"6730",5,3,2017,7,17,11,10,2,5,1625,99,1994,69,1102,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"6731",5,3,2017,7,18,9,3,99,3,952,99,9999,999,920,4,6,3,NA,NA,NA,NA,NA,NA,NA,NA
"6732",5,3,2017,7,19,19,4,5,1,949,99,9999,6,1901,4,6,3,NA,NA,NA,NA,NA,NA,NA,NA
"6733",5,4,2009,7,2,9,6,99,2,1044,NA,9999,NA,NA,1,6,NA,2,1,22,1,9,NA,NA,3
"6734",5,4,2009,7,3,1,1,2,2,1040,NA,9999,NA,NA,1,6,NA,2,1,17,2,9,NA,NA,2
"6735",5,4,2009,7,6,9,12,7,1,1043,NA,9999,NA,NA,2,6,NA,2,1,32,1,9,NA,NA,5
"6736",5,4,2009,7,14,18,14,1,4,1046,NA,9999,NA,NA,3,6,NA,1,1,15,2,9,NA,NA,2
"6737",5,4,2009,7,16,22,3,14,3,1041,NA,1999,NA,NA,3,3,NA,2,1,55,1,9,NA,NA,10
"6738",5,4,2009,7,17,22,4,3,1,1042,NA,9999,NA,NA,3,6,NA,2,1,25,1,9,NA,NA,4
"6739",5,4,2009,7,18,14,3,99,2,1047,NA,9999,NA,NA,4,6,NA,1,2,29,1,9,NA,NA,4
"6740",5,4,2009,7,19,12,4,1,1,1045,NA,2008,NA,NA,4,4,NA,2,1,34,1,1,NA,NA,5
"6741",5,4,2009,7,22,1,2,9,2,1039,NA,1995,NA,NA,4,3,NA,1,2,60,1,9,NA,NA,11
"6742",5,4,2010,1,3,16,3,4,4,NA,99,1993,NA,NA,1,3,NA,2,1,999,9,1,NA,NA,16
"6743",5,4,2010,1,6,2,3,4,1,NA,99,2010,NA,NA,2,5,NA,2,1,40,1,1,NA,NA,7
"6744",5,4,2010,1,8,5,4,11,1,NA,99,9999,NA,NA,2,6,NA,2,1,39,1,1,NA,NA,6
"6745",5,4,2010,1,8,14,3,2,4,NA,99,1989,NA,NA,2,2,NA,2,1,40,1,1,NA,NA,7
"6746",5,4,2010,1,15,1,3,5,1,NA,99,9999,NA,NA,3,6,NA,1,1,999,9,1,NA,NA,16
"6747",5,4,2010,1,16,1,2,6,1,NA,8,9999,NA,NA,3,6,NA,1,1,28,1,1,NA,NA,4
"6748",5,4,2010,1,16,12,3,2,2,NA,99,9999,NA,NA,3,6,NA,2,1,36,1,1,NA,NA,6
"6749",5,4,2010,1,17,13,1,99,1,NA,99,2000,NA,NA,3,4,NA,2,1,24,1,1,NA,NA,3
"6750",5,4,2010,1,19,19,4,1,1,NA,99,9999,NA,NA,4,6,NA,2,1,41,1,2,NA,NA,7
"6751",5,4,2010,1,21,21,1,99,1,NA,99,9999,NA,NA,4,6,NA,2,1,48,1,1,NA,NA,8
"6752",5,4,2011,2,0,22,1,5,1,22,99,1994,43,NA,1,3,NA,1,1,25,1,9,NA,NA,4
"6753",5,4,2011,2,10,16,3,4,3,23,99,9999,43,NA,2,6,NA,1,1,53,1,9,NA,NA,9
"6754",5,4,2011,2,14,14,3,5,1,25,99,1997,36,NA,3,3,NA,1,1,38,1,9,NA,NA,6
"6755",5,4,2011,2,20,1,1,9,1,21,1,1993,40,NA,4,3,NA,2,1,35,1,9,NA,NA,6
"6756",5,4,2011,2,23,2,3,4,1,24,99,2006,43,NA,4,4,NA,1,1,41,1,9,NA,NA,7
"6757",5,4,2012,4,0,1,3,99,1,883,3,9999,NA,101,1,6,NA,1,9,999,9,9,NA,NA,16
"6758",5,4,2012,4,0,11,1,2,1,891,4,9999,NA,1101,1,6,NA,1,1,36,1,9,NA,NA,6
